name,top,top_saler,price1,price2,price3,price4,price5,delivery,link,color,size
Носки YO! SKA-X010U мультиколор 27-30,1,Бубльгум,2 250 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта",https://kaspi.kz/shop/p/yo-ska-x010u-mul-tikolor-27-30-108066974/?c=750000000,[],[]
Набор Batik Ползунки 02024_BAT мультиколор 68 2шт,1,Бубльгум,2 080 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта",https://kaspi.kz/shop/p/batik-polzunki-02024-bat-mul-tikolor-68-2sht-108512672/?c=750000000,[],[]
Ползунки Batik 02024_BAT набор мультиколор 62 2 шт,1,Бубльгум,2 080 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта",https://kaspi.kz/shop/p/batik-02024-bat-nabor-mul-tikolor-62-2-sht-108512645/?c=750000000,[],[]
"Набор Ползунки Batik 02026_BAT розовый 62, 2 шт",1,Бубльгум,2 080 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта",https://kaspi.kz/shop/p/polzunki-batik-02026-bat-rozovyi-62-2-sht-108512638/?c=750000000,[],[]
Куртка Orby 101978_OOG Children 122-128,1,Бубльгум,50 380 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта, бесплатно",https://kaspi.kz/shop/p/orby-101978-oog-children-106843039/?c=750000000,"[] серый:True, ","[]122-128:True, 134-140:True, 146-152:True, 158:True, 164:True, "
Куртка Batik комбинезон 106-23з зеленый 98,1,Бубльгум,47 880 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта, бесплатно",https://kaspi.kz/shop/p/batik-kombinezon-106-23z-zelenyi-106786557/?c=750000000,"[] зеленый:True, ","[]98:True, "
Куртка OLDOS OCSS22JK2T106 110,1,Бубльгум,31 050 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта, бесплатно",https://kaspi.kz/shop/p/kurtka-oldos-ocss22jk2t106-104318773/?c=750000000,"[] розовый:True, ","[]98:True, 104:True, 110:True, 116:True, 122:True, "
Куртка Orby 101975_OOG Children 134-140,1,Бубльгум,43 470 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта, бесплатно",https://kaspi.kz/shop/p/kurtka-orby-101975-oog-children-106843037/?c=750000000,"[] бежевый:True, ","[]122-128:False, 134-140:True, 146-152:True, 158:True, 164:True, 170:False, "
Комплект Baykar 4945 белый 98-104,1,Бубльгум,2 865 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта",https://kaspi.kz/shop/p/baykar-4945-belyi-108667086/?c=750000000,"[] белый:True, ","[]98-104:True, 134-140:True, "
Сандалии Kakadu Bis00080475 Children желтый 31,99,---,---,---,---,---,---,---,https://kaspi.kz/shop/p/kakadu-bis00080475-children-zheltyi-104919565/?c=750000000,"[] желтый:True, ","[]31:False, 32:False, 33:True, 34:False, 35:False, 36:True, "
